,metadata_name,metadata_activityType,metadata_climbCategory,metadata_verifiedStatus,measurements_distance,measurements_avgGrade,measurements_elevHigh,measurements_elevLow,elevationChart_url,totalAthletes,totalEfforts,athletePrEffort_timing_elapsedTime,athletePrEffort_activity_id,leaderboards_leaderboardEfforts_athlete_id,leaderboards_leaderboardEfforts_athlete_firstName,leaderboards_leaderboardEfforts_athlete_lastName,leaderboards_leaderboardEfforts_activity_id,leaderboards_leaderboardEfforts_timing_elapsedTime,athletePrEffort,distance_miles,cr_speed
40,St. Agatha Vans Will Be Parked In The Bike Lane,Ride,,,1119.0,-0.07149239629507065,182.8000030517578,181.60000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/6YFAWKZE553UMTJRW3DAHKE6XHTSX4H7WE4ZHOQLYET6R5XMZEUAR76T6FHNVLHRE3HO6IE5KU======,562,2506,,,100528314,Raoul,Duke,7300270803,105,,0.6953160923111338,23.839408879238874
41,jailbreak,Ride,,,397.20001220703125,0.10070499777793884,182.39999389648438,182.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/NXLZQEFTHI3LZSPEIZCUREVDV5B2YN66OKGHQDVLEDLROZHDRXHJ6IMP5MVVIN6K73OEKO4FT4======,595,2678,,,2977156,Jeff,Whiteman,1112406076,26,,0.24680925858241967,34.17358964987349
42,Swooper 31st,Ride,,,1642.5,0.060882799327373505,186.0,175.5,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/WWXXRDM45QIRNP463YSVOYH3HXGBLXGV33ZDJNRJZOZEIMZF4NWYQZPHD6QLESACKMN3NWTC,124,188,,,67364156,Danny,Ortiz,9420306928,97,,1.0206047199473076,37.878113317632035
43,Central Park - Douglas to Lake,Ride,,,2508.0,0.07177030295133591,187.1999969482422,184.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/2QC5S5N2ADE2ZFYWJT4WHFHFM4ZFZUSYJGOECRPBNB3RUCSINXFHPEYKUDQKB5HPB3EYVDYJ,254,1346,,,4600157,rick,stephens,5232691246,243,,1.5584028235177154,23.087449237299488
44,cicero ave to the 606,Ride,,,10992.599609375,-0.0291105005890131,193.3000030517578,179.10000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/IDCEKIWKW36NSGFZFQLRQLSF554Z4YEBJWIAP5DMV2CSAFHGR4OD7LD3QOJCOGAZZSQXXO33EI======,77,772,,,23618465,Veymer,Ramos,5550758826,1002,,6.830501702172941,24.540724678465658
45,Kostner northbound,Ride,,,2260.699951171875,0.030963899567723274,184.5,183.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/6H65LORVPRJBS6PHYA42VL4IIX7BVYQJ7BJWBGAFSKL5AWPG7XTHR7ICTL274MPX7YYRY3J6,19,23,,,1076688,Steve,Hoffner,6087655805,263,,1.4047373154037526,19.228343480811823
46,OC Climb,Ride,,,865.7000122070312,0.5775669813156128,170.8000030517578,165.1999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/F3BDTX7SKC5JJBMHENPVGLC4ZLW2BTDXJXIA5U3TV4WCZA7K25ZD66DGGQ4B6OAFEHZQPTJQ,1287,9298,,,47345897,ABRAHAM EMILIO,GARCIª,10782982937,53,,0.5379223857028541,36.53812431189198
47,The White Knuckler,Ride,,,694.5999755859375,-0.5758709907531738,169.1999969482422,163.60000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JMAPXVS5B42SA63OM5LXYC6G5GBWVH3GSOJ3B7ACTVR6FBOBZZKSQJATQTV3C6QSZBMJ4PJ4RI======,1932,20309,81.0,12113354481,47345897,ABRAHAM EMILIO,GARCIª,10710546208,39,,0.43160548770672297,39.84050655754366
48,Comin' Outta the Yard,Ride,,,815.0999755859375,-0.06134219840168953,184.89999389648438,184.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MSAJSMQD5LTNNXGGQTLN2V4RPVNP2KDQRQQUQ6D6NMYNUW27M3VGC54WILTBV5HY3DC6GR77FU======,977,13232,,,389501,Peter,Howland,622438136,48,,0.5064809024730247,37.98606768547685
49,Columbus Park up and around (East),Ride,,,1000.0999755859375,0.12998700141906738,189.5,186.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/DQ35ROO3ZST5LW443HUUUYEZU4B24RKGJSTVO77NKRC7NA72WQNYMVW6LZEREDKXL2GANXTL,117,1735,,,706326,Michael,Hulburt,5204369827,84,,0.6214348587532389,26.63292251799595
